rating,reviews,company,province,parsed_date,processed_reviews,tokenized_reviews,topic
5,Ok,JNE,Aceh,2022-01-21,nan,['nan'],Pelayanan Bagus
5,24jam ready,JNE,Aceh,2020-01-22,nan,['nan'],Pelayanan Bagus
5,Great,JNE,Aceh,2019-01-22,nan,['nan'],Pelayanan Bagus
5,Ok,JNE,Aceh,2020-01-22,nan,['nan'],Pelayanan Bagus
4,Ok,JNE,Aceh,2020-01-22,nan,['nan'],Pelayanan Bagus
4,Dulu sering ngirim barang disini guys,JNE,Aceh,2024-10-22,nan,['nan'],Pelayanan Bagus
5,Oke,JNE,Aceh,2024-05-25,nan,['nan'],Pelayanan Bagus
5,𝐼𝑛𝑑𝑎ℎ𝑛𝑦𝑎 …,JNE,Aceh,2024-03-26,nan,['nan'],Pelayanan Bagus
5,Wow,JNE,Aceh,2021-01-21,nan,['nan'],Pelayanan Bagus
5,yang kedua,JNE,Aceh,2019-01-22,nan,['nan'],Pelayanan Bagus
5,Oke,JNE,Aceh,2021-01-21,nan,['nan'],Pelayanan Bagus
5,"Oke, tidak",JNE,Aceh,2019-01-22,nan,['nan'],Pelayanan Bagus
5,Atas,JNE,Aceh,2021-01-21,nan,['nan'],Pelayanan Bagus
5,DLL,JNE,Aceh,2021-01-21,nan,['nan'],Pelayanan Bagus
4,Tempat kirim2 paket,JNE,Bali,2021-01-21,nan,['nan'],Pelayanan Bagus
5,👌 oke. …,JNE,Bali,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Oke,JNE,Bali,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Oke,JNE,Bangka Belitung,2021-01-21,nan,['nan'],Pelayanan Bagus
4,melihat,JNE,Bangka Belitung,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Dll,JNE,Bangka Belitung,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Luar biasa,JNE,Bangka Belitung,2021-01-21,nan,['nan'],Pelayanan Bagus
4,DLL,JNE,Bangka Belitung,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Oke,JNE,Banten,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Tidak apa-apa,JNE,Banten,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Atas,JNE,Banten,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Oke. Kalau bisa hari minggu tetap bisa ambil paket,JNE,Bengkulu,2021-01-21,nan,['nan'],Pelayanan Bagus
4,Udah lebih ok,JNE,Bengkulu,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Terima kasih banyak...!!!,JNE,Bengkulu,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Atas,JNE,Bengkulu,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Oke,JNE,Bengkulu,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Kurir,JNE,Bengkulu,2021-01-21,nan,['nan'],Pelayanan Bagus
4,Oke,JNE,Bengkulu,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Lebih baik,JNE,Bengkulu,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Ya,JNE,Bengkulu,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Jos dll,JNE,DIY Yogyakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Terlalu jauh,JNE,DIY Yogyakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
4,Tidak apa-apa,JNE,DIY Yogyakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Ambil sesuatu,JNE,DIY Yogyakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
5,nama baru,JNE,DIY Yogyakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
5,❤️,JNE,DIY Yogyakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Jika,JNE,DIY Yogyakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Oke,JNE,DIY Yogyakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
4,Oke,JNE,DIY Yogyakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Dll,JNE,DIY Yogyakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Atas,JNE,DIY Yogyakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Benar-benar,JNE,DIY Yogyakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Terima kasih.,JNE,DIY Yogyakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Oke,JNE,DKI Jakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Dll,JNE,DKI Jakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Ya,JNE,DKI Jakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Okeyy,JNE,DKI Jakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Luar biasa,JNE,DKI Jakarta,2021-01-21,nan,['nan'],Pelayanan Bagus
