rating,reviews,company,province,parsed_date,processed_reviews
5,"Located at the Padang Old City area, just around the corner from Siti Nurbaya Bridge across Batang Anai River. JNE is one of many delivery services in Indonesia. Giving good services, the business entity continues to grow.",JNE,Aceh,2024-04-24,letak kawasan kota tua padang tidak jembatan siti nurbaya seberang sungai batang ana jne salah layan kirim indonesia layan badan usaha kembang
1,"Bad service given to customers, my own experience taking 1 day shipment service and had to pay quite big amount of money. I asked over and over to make sure my package arrived in 1 day as it contained food and JNE staffs answer so sure it …",JNE,Aceh,2021-01-20,layan buruk langgan alam ambil jasa kirim keluar biaya kali kali paket isi makan tugas jne
5,"Nice Place, they're working on rebuild their office, great people and services",JNE,Aceh,2022-01-20,bagus upaya bangun kantor orang orang hebat layan
5,Good delivery service for customers in this country.,JNE,Aceh,2023-01-20,layan kirim langgan negara
5,Good service,JNE,Aceh,2022-01-20,layan bagus
5,Very nice building and nice staff,JNE,Aceh,2023-01-20,bangun bagus staf
5,Good service and Fast complain responding,JNE,Aceh,2019-01-21,layan bagus respon komplain cepat
1,Too slow,JNE,Aceh,2016-01-22,lambat
4,Good..,JNE,Aceh,2021-01-20,bagus
4,Goooood,JNE,Aceh,2019-01-21,bagus
5,Ok,JNE,Aceh,2022-01-20,oke
5,Good,JNE,Aceh,2021-01-20,bagus
4,Expedition,JNE,Aceh,2019-01-21,ekspedisi
5,Nice,JNE,Aceh,2020-01-21,bagus
5,Beautiful,JNE,Aceh,2019-01-21,cantik
5,24jam ready,JNE,Aceh,2020-01-21,jam
5,Perfect,JNE,Aceh,2019-01-21,sempurna
5,Great,JNE,Aceh,2019-01-21,
2,Slow service,JNE,Aceh,2022-01-20,layan lambat
5,Jne is the best,JNE,Aceh,2019-01-21,jne baik
1,Bad service,JNE,Aceh,2019-01-21,layan buruk
5,Ok,JNE,Aceh,2020-01-21,oke
5,Good,JNE,Aceh,2020-01-21,bagus
4,Ok,JNE,Aceh,2020-01-21,oke
1,"The courier was too slow for many reasons even though it was already far from the estimate until 4 days had passed and the item was about to be used until it was too bad, m",JNE,Aceh,2025-01-05,kurir lambat kira barang pakai sayang banget m
1,"The delivery was said to be 5 days, but now nothing has been received at all, instead the package has been received by the recipient, you know, I haven't been notified at all, even though I didn't code...🥲💔 …",JNE,Aceh,2025-01-12,kirim belum terima paket terima terima lho belum diberitahu tidak kode
